PING 10.0.2.22 (10.0.2.22) 56(84) bytes of data.
64 bytes from 10.0.2.22: icmp_seq=229 ttl=63 time=484 ms
64 bytes from 10.0.2.22: icmp_seq=230 ttl=63 time=482 ms
64 bytes from 10.0.2.22: icmp_seq=231 ttl=63 time=497 ms
64 bytes from 10.0.2.22: icmp_seq=232 ttl=63 time=484 ms
64 bytes from 10.0.2.22: icmp_seq=233 ttl=63 time=484 ms
64 bytes from 10.0.2.22: icmp_seq=234 ttl=63 time=488 ms
64 bytes from 10.0.2.22: icmp_seq=235 ttl=63 time=488 ms
64 bytes from 10.0.2.22: icmp_seq=236 ttl=63 time=477 ms
64 bytes from 10.0.2.22: icmp_seq=237 ttl=63 time=476 ms
64 bytes from 10.0.2.22: icmp_seq=238 ttl=63 time=489 ms
64 bytes from 10.0.2.22: icmp_seq=239 ttl=63 time=490 ms
64 bytes from 10.0.2.22: icmp_seq=240 ttl=63 time=489 ms
64 bytes from 10.0.2.22: icmp_seq=241 ttl=63 time=488 ms
64 bytes from 10.0.2.22: icmp_seq=242 ttl=63 time=474 ms
64 bytes from 10.0.2.22: icmp_seq=243 ttl=63 time=483 ms
64 bytes from 10.0.2.22: icmp_seq=244 ttl=63 time=483 ms
64 bytes from 10.0.2.22: icmp_seq=245 ttl=63 time=486 ms
64 bytes from 10.0.2.22: icmp_seq=246 ttl=63 time=487 ms
64 bytes from 10.0.2.22: icmp_seq=247 ttl=63 time=486 ms
64 bytes from 10.0.2.22: icmp_seq=248 ttl=63 time=481 ms
64 bytes from 10.0.2.22: icmp_seq=249 ttl=63 time=479 ms
64 bytes from 10.0.2.22: icmp_seq=250 ttl=63 time=481 ms
64 bytes from 10.0.2.22: icmp_seq=251 ttl=63 time=481 ms
64 bytes from 10.0.2.22: icmp_seq=252 ttl=63 time=479 ms
64 bytes from 10.0.2.22: icmp_seq=253 ttl=63 time=485 ms
64 bytes from 10.0.2.22: icmp_seq=254 ttl=63 time=491 ms
64 bytes from 10.0.2.22: icmp_seq=255 ttl=63 time=493 ms
64 bytes from 10.0.2.22: icmp_seq=256 ttl=63 time=495 ms
64 bytes from 10.0.2.22: icmp_seq=257 ttl=63 time=503 ms
64 bytes from 10.0.2.22: icmp_seq=258 ttl=63 time=497 ms
64 bytes from 10.0.2.22: icmp_seq=259 ttl=63 time=490 ms
64 bytes from 10.0.2.22: icmp_seq=260 ttl=63 time=497 ms
64 bytes from 10.0.2.22: icmp_seq=261 ttl=63 time=493 ms
64 bytes from 10.0.2.22: icmp_seq=262 ttl=63 time=486 ms
64 bytes from 10.0.2.22: icmp_seq=263 ttl=63 time=489 ms
64 bytes from 10.0.2.22: icmp_seq=264 ttl=63 time=485 ms
64 bytes from 10.0.2.22: icmp_seq=265 ttl=63 time=482 ms
64 bytes from 10.0.2.22: icmp_seq=266 ttl=63 time=483 ms
64 bytes from 10.0.2.22: icmp_seq=267 ttl=63 time=514 ms
64 bytes from 10.0.2.22: icmp_seq=268 ttl=63 time=536 ms
64 bytes from 10.0.2.22: icmp_seq=269 ttl=63 time=536 ms
64 bytes from 10.0.2.22: icmp_seq=270 ttl=63 time=535 ms
64 bytes from 10.0.2.22: icmp_seq=271 ttl=63 time=539 ms
64 bytes from 10.0.2.22: icmp_seq=272 ttl=63 time=513 ms
64 bytes from 10.0.2.22: icmp_seq=273 ttl=63 time=507 ms
64 bytes from 10.0.2.22: icmp_seq=274 ttl=63 time=497 ms
64 bytes from 10.0.2.22: icmp_seq=275 ttl=63 time=495 ms
64 bytes from 10.0.2.22: icmp_seq=276 ttl=63 time=493 ms
64 bytes from 10.0.2.22: icmp_seq=277 ttl=63 time=494 ms
64 bytes from 10.0.2.22: icmp_seq=278 ttl=63 time=488 ms
64 bytes from 10.0.2.22: icmp_seq=279 ttl=63 time=487 ms
64 bytes from 10.0.2.22: icmp_seq=280 ttl=63 time=487 ms
64 bytes from 10.0.2.22: icmp_seq=281 ttl=63 time=488 ms
64 bytes from 10.0.2.22: icmp_seq=282 ttl=63 time=487 ms
64 bytes from 10.0.2.22: icmp_seq=283 ttl=63 time=492 ms
64 bytes from 10.0.2.22: icmp_seq=284 ttl=63 time=488 ms
