PING 10.0.2.22 (10.0.2.22) 56(84) bytes of data.
64 bytes from 10.0.2.22: icmp_seq=211 ttl=63 time=58.6 ms
64 bytes from 10.0.2.22: icmp_seq=212 ttl=63 time=56.1 ms
64 bytes from 10.0.2.22: icmp_seq=213 ttl=63 time=41.5 ms
64 bytes from 10.0.2.22: icmp_seq=214 ttl=63 time=62.8 ms
64 bytes from 10.0.2.22: icmp_seq=215 ttl=63 time=46.8 ms
64 bytes from 10.0.2.22: icmp_seq=216 ttl=63 time=68.6 ms
64 bytes from 10.0.2.22: icmp_seq=217 ttl=63 time=65.3 ms
64 bytes from 10.0.2.22: icmp_seq=219 ttl=63 time=67.5 ms
64 bytes from 10.0.2.22: icmp_seq=220 ttl=63 time=76.2 ms
64 bytes from 10.0.2.22: icmp_seq=221 ttl=63 time=24.8 ms
64 bytes from 10.0.2.22: icmp_seq=222 ttl=63 time=71.1 ms
64 bytes from 10.0.2.22: icmp_seq=223 ttl=63 time=67.9 ms
64 bytes from 10.0.2.22: icmp_seq=224 ttl=63 time=39.9 ms
64 bytes from 10.0.2.22: icmp_seq=228 ttl=63 time=40.5 ms
64 bytes from 10.0.2.22: icmp_seq=229 ttl=63 time=49.8 ms
64 bytes from 10.0.2.22: icmp_seq=230 ttl=63 time=58.4 ms
64 bytes from 10.0.2.22: icmp_seq=231 ttl=63 time=43.7 ms
64 bytes from 10.0.2.22: icmp_seq=232 ttl=63 time=64.0 ms
64 bytes from 10.0.2.22: icmp_seq=233 ttl=63 time=24.0 ms
64 bytes from 10.0.2.22: icmp_seq=234 ttl=63 time=81.9 ms
64 bytes from 10.0.2.22: icmp_seq=235 ttl=63 time=79.4 ms
64 bytes from 10.0.2.22: icmp_seq=236 ttl=63 time=15.3 ms
64 bytes from 10.0.2.22: icmp_seq=237 ttl=63 time=48.2 ms
64 bytes from 10.0.2.22: icmp_seq=238 ttl=63 time=69.6 ms
64 bytes from 10.0.2.22: icmp_seq=239 ttl=63 time=54.3 ms
64 bytes from 10.0.2.22: icmp_seq=240 ttl=63 time=51.2 ms
64 bytes from 10.0.2.22: icmp_seq=241 ttl=63 time=48.3 ms
64 bytes from 10.0.2.22: icmp_seq=242 ttl=63 time=33.2 ms
64 bytes from 10.0.2.22: icmp_seq=243 ttl=63 time=54.6 ms
64 bytes from 10.0.2.22: icmp_seq=244 ttl=63 time=38.1 ms
64 bytes from 10.0.2.22: icmp_seq=245 ttl=63 time=59.6 ms
64 bytes from 10.0.2.22: icmp_seq=246 ttl=63 time=68.2 ms
64 bytes from 10.0.2.22: icmp_seq=247 ttl=63 time=41.0 ms
64 bytes from 10.0.2.22: icmp_seq=248 ttl=63 time=74.3 ms
64 bytes from 10.0.2.22: icmp_seq=249 ttl=63 time=83.5 ms
64 bytes from 10.0.2.22: icmp_seq=250 ttl=63 time=33.9 ms
64 bytes from 10.0.2.22: icmp_seq=251 ttl=63 time=31.2 ms
64 bytes from 10.0.2.22: icmp_seq=252 ttl=63 time=51.7 ms
64 bytes from 10.0.2.22: icmp_seq=253 ttl=63 time=36.1 ms
64 bytes from 10.0.2.22: icmp_seq=254 ttl=63 time=58.1 ms
64 bytes from 10.0.2.22: icmp_seq=255 ttl=63 time=54.2 ms
64 bytes from 10.0.2.22: icmp_seq=256 ttl=63 time=38.9 ms
64 bytes from 10.0.2.22: icmp_seq=257 ttl=63 time=60.5 ms
64 bytes from 10.0.2.22: icmp_seq=258 ttl=63 time=45.6 ms
64 bytes from 10.0.2.22: icmp_seq=259 ttl=63 time=66.0 ms
64 bytes from 10.0.2.22: icmp_seq=260 ttl=63 time=63.9 ms
64 bytes from 10.0.2.22: icmp_seq=261 ttl=63 time=37.3 ms
64 bytes from 10.0.2.22: icmp_seq=262 ttl=63 time=70.4 ms
64 bytes from 10.0.2.22: icmp_seq=263 ttl=63 time=79.3 ms
64 bytes from 10.0.2.22: icmp_seq=264 ttl=63 time=27.2 ms
64 bytes from 10.0.2.22: icmp_seq=265 ttl=63 time=48.0 ms
64 bytes from 10.0.2.22: icmp_seq=266 ttl=63 time=69.2 ms
64 bytes from 10.0.2.22: icmp_seq=267 ttl=63 time=53.5 ms
64 bytes from 10.0.2.22: icmp_seq=268 ttl=63 time=50.0 ms
64 bytes from 10.0.2.22: icmp_seq=269 ttl=63 time=72.2 ms
64 bytes from 10.0.2.22: icmp_seq=271 ttl=63 time=53.8 ms
64 bytes from 10.0.2.22: icmp_seq=272 ttl=63 time=38.9 ms
64 bytes from 10.0.2.22: icmp_seq=274 ttl=63 time=78.7 ms
64 bytes from 10.0.2.22: icmp_seq=276 ttl=63 time=44.2 ms
64 bytes from 10.0.2.22: icmp_seq=278 ttl=63 time=83.7 ms
64 bytes from 10.0.2.22: icmp_seq=279 ttl=63 time=30.6 ms
64 bytes from 10.0.2.22: icmp_seq=280 ttl=63 time=29.0 ms
64 bytes from 10.0.2.22: icmp_seq=281 ttl=63 time=62.2 ms
64 bytes from 10.0.2.22: icmp_seq=282 ttl=63 time=58.4 ms
64 bytes from 10.0.2.22: icmp_seq=283 ttl=63 time=31.3 ms
64 bytes from 10.0.2.22: icmp_seq=284 ttl=63 time=52.3 ms
64 bytes from 10.0.2.22: icmp_seq=285 ttl=63 time=49.8 ms
64 bytes from 10.0.2.22: icmp_seq=286 ttl=63 time=34.1 ms
64 bytes from 10.0.2.22: icmp_seq=287 ttl=63 time=55.0 ms
64 bytes from 10.0.2.22: icmp_seq=288 ttl=63 time=40.3 ms
64 bytes from 10.0.2.22: icmp_seq=289 ttl=63 time=62.0 ms
64 bytes from 10.0.2.22: icmp_seq=290 ttl=63 time=59.5 ms
64 bytes from 10.0.2.22: icmp_seq=291 ttl=63 time=56.1 ms
64 bytes from 10.0.2.22: icmp_seq=292 ttl=63 time=64.6 ms
64 bytes from 10.0.2.22: icmp_seq=293 ttl=63 time=73.2 ms
64 bytes from 10.0.2.22: icmp_seq=294 ttl=63 time=33.9 ms
64 bytes from 10.0.2.22: icmp_seq=295 ttl=63 time=67.2 ms
64 bytes from 10.0.2.22: icmp_seq=296 ttl=63 time=64.2 ms
64 bytes from 10.0.2.22: icmp_seq=297 ttl=63 time=37.8 ms
64 bytes from 10.0.2.22: icmp_seq=298 ttl=63 time=48.5 ms
64 bytes from 10.0.2.22: icmp_seq=299 ttl=63 time=3.90 ms
64 bytes from 10.0.2.22: icmp_seq=300 ttl=63 time=7.45 ms
64 bytes from 10.0.2.22: icmp_seq=301 ttl=63 time=6.76 ms
64 bytes from 10.0.2.22: icmp_seq=302 ttl=63 time=4.95 ms
64 bytes from 10.0.2.22: icmp_seq=303 ttl=63 time=8.81 ms
64 bytes from 10.0.2.22: icmp_seq=304 ttl=63 time=8.51 ms
64 bytes from 10.0.2.22: icmp_seq=305 ttl=63 time=5.89 ms
64 bytes from 10.0.2.22: icmp_seq=307 ttl=63 time=12.3 ms
64 bytes from 10.0.2.22: icmp_seq=308 ttl=63 time=6.51 ms
64 bytes from 10.0.2.22: icmp_seq=309 ttl=63 time=5.89 ms
